"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|FI","Actual Total Load [MW] - BZN|FI"
"01.01.2015 00:00 - 01.01.2015 01:00","9122","9229"
"01.01.2015 01:00 - 01.01.2015 02:00","8835","8893"
"01.01.2015 02:00 - 01.01.2015 03:00","8668","8735"
"01.01.2015 03:00 - 01.01.2015 04:00","8613","8626"
"01.01.2015 04:00 - 01.01.2015 05:00","8685","8674"
"01.01.2015 05:00 - 01.01.2015 06:00","8865","8845"
"01.01.2015 06:00 - 01.01.2015 07:00","8889","8877"
"01.01.2015 07:00 - 01.01.2015 08:00","9016","9044"
"01.01.2015 08:00 - 01.01.2015 09:00","9059","8994"
"01.01.2015 09:00 - 01.01.2015 10:00","9107","9074"
"01.01.2015 10:00 - 01.01.2015 11:00","9280","9205"
"01.01.2015 11:00 - 01.01.2015 12:00","9372","9307"
"01.01.2015 12:00 - 01.01.2015 13:00","9417","9338"
"01.01.2015 13:00 - 01.01.2015 14:00","9549","9456"
"01.01.2015 14:00 - 01.01.2015 15:00","9901","9831"
"01.01.2015 15:00 - 01.01.2015 16:00","10217","10159"
"01.01.2015 16:00 - 01.01.2015 17:00","10292","10188"
"01.01.2015 17:00 - 01.01.2015 18:00","10326","10206"
"01.01.2015 18:00 - 01.01.2015 19:00","10320","10184"
"01.01.2015 19:00 - 01.01.2015 20:00","10143","10023"
"01.01.2015 20:00 - 01.01.2015 21:00","9867","9747"
"01.01.2015 21:00 - 01.01.2015 22:00","10160","9996"
"01.01.2015 22:00 - 01.01.2015 23:00","9980","9830"
"01.01.2015 23:00 - 02.01.2015 00:00","9490","9366"
"02.01.2015 00:00 - 02.01.2015 01:00","9116","8956"
"02.01.2015 01:00 - 02.01.2015 02:00","8892","8721"
"02.01.2015 02:00 - 02.01.2015 03:00","8810","8662"
"02.01.2015 03:00 - 02.01.2015 04:00","8860","8739"
"02.01.2015 04:00 - 02.01.2015 05:00","9202","9006"
"02.01.2015 05:00 - 02.01.2015 06:00","10062","9608"
"02.01.2015 06:00 - 02.01.2015 07:00","10596","10012"
"02.01.2015 07:00 - 02.01.2015 08:00","10971","10333"
"02.01.2015 08:00 - 02.01.2015 09:00","11004","10443"
"02.01.2015 09:00 - 02.01.2015 10:00","10888","10340"
"02.01.2015 10:00 - 02.01.2015 11:00","10867","10288"
"02.01.2015 11:00 - 02.01.2015 12:00","10883","10266"
"02.01.2015 12:00 - 02.01.2015 13:00","10869","10329"
